,Season,Team Name,Conference,Adjusted Temo,Adjusted Offensive Efficiency,Adjusted Defensive Efficiency,Avg Possession Length (Offense),Avg Possession Length (Defense),eFGPct,TOPct,ORPct,OffFT,DefFT,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,FG2Pct,FG3Pct,FTPct,BlockPct,OppFG2Pct,OppFG3Pct,OppFTPct,OppBlockPct,DFP,AvgHeight,CenterHeight,PFHeight,SFHeight,SGHeight,PGHeight,EffectiveHeight,Experience,Bench,CenterOR,PFOR,SFOR,SGOR,PGOR,CenterDR,PFDR,SFDR,SGDR,PGDR,Net Rating
3953,2012,Charleston Southern,Big South Conference,69.5,104.5,105.2,15.9,17.8,0.5047619999999999,0.18620699999999998,0.324272,19.6209,18.1463,71.5533,69.4824,105.135,104.506,102.005,105.213,-0.706896,0.47363500000000003,0.372168,0.6981449999999999,0.07087399999999999,0.523301,0.36363599999999996,0.682569,0.09604499999999999,6.98477840362821,74.23,-3.04,-1.06,-1.39,-1.22,-3.47,-4.11,1.09,28.52,34.07,23.4,20.41,10.41,11.71,27.76,29.53,18.37,13.54,10.79,-0.7000000000000028
3954,2012,George Washington,Atlantic 10 Conference (A-10),62.6,101.8,102.5,19.7,17.6,0.46258699999999997,0.205377,0.354719,16.9703,20.203,65.0391,62.6018,95.5419,101.826,102.99,102.504,-0.678032,0.45481900000000003,0.325758,0.663951,0.100701,0.47985999999999995,0.37755099999999997,0.706081,0.087349,6.98477840362821,77.52,0.4,1.36,1.07,2.1,1.63,1.75,2.08,34.47,25.47,18.0,31.34,16.73,8.45,23.13,23.79,22.99,18.86,11.23,-0.7000000000000028
3956,2011,George Washington,Atlantic 10 Conference (A-10),63.6,101.3,102.0,18.6,18.2,0.467949,0.19729600000000003,0.36026800000000003,20.1392,20.5432,64.8121,63.5941,99.5693,101.303,100.938,102.038,-0.734365,0.451064,0.336414,0.626935,0.12251,0.468127,0.36497500000000005,0.708688,0.094468,6.98477840362821,77.72,0.99,1.83,1.49,0.93,1.46,2.82,1.34,34.58,32.59,17.79,32.78,11.94,4.91,26.06,21.45,22.24,14.93,15.32,-0.7000000000000028
3957,2009,Montana,Big Sky Conference,61.9,104.1,104.8,18.6,18.2,0.509225,0.18571400000000002,0.28100200000000003,21.0074,22.8999,62.4167,61.8783,104.5,104.059,103.019,104.754,-0.695421,0.485531,0.374408,0.729622,0.101304,0.446339,0.363196,0.714542,0.062165,6.98477840362821,77.75,1.68,0.38,0.01,0.71,2.68,2.06,2.05,32.2,37.28,30.2,14.44,6.73,11.35,30.54,30.93,15.75,9.75,13.03,-0.7000000000000028
3958,2023,Appalachian State,Sun Belt Conference (SBC),64.8,101.2,101.9,18.8,17.7,0.487148102815177,0.163122785074005,0.24509803921568601,16.3426169206516,15.8498435870699,65.5818,64.8396,99.2191,101.185,99.9463,101.944,-0.758906,0.483134920634921,0.329073482428115,0.650627615062761,0.12415784408084701,0.464870067372474,0.33436532507739897,0.7272727272727271,0.0724206349206349,6.98477840362821,78.1,1.45,1.92,0.64,0.11,0.97,1.68,1.9,32.37,36.38,33.3,10.18,16.9,3.21,24.31,26.99,17.15,16.88,14.64,-0.7000000000000028
3959,2023,East Carolina,American Athletic Conference (AAC),67.3,103.2,103.9,17.3,17.6,0.471255274261603,0.19217494546759797,0.329517579721995,21.3121972699251,19.3811774817361,68.5928,67.2803,100.592,103.15,103.029,103.881,-0.730993,0.469314079422383,0.315989847715736,0.6875,0.0697115384615385,0.491987179487179,0.328767123287671,0.7147385103011089,0.104693140794224,6.98477840362821,77.07,0.46,0.29,-0.06,-0.02,-0.75,0.38,1.25,31.91,35.81,25.15,10.01,18.59,10.37,26.22,25.6,17.28,15.64,15.2,-0.7000000000000028
3960,2023,Navy,Patriot League,64.4,103.7,104.4,18.2,18.5,0.514526438117374,0.17328630578132198,0.299204771371769,13.9873725109276,16.2327718223583,64.672,64.416,105.147,103.671,100.056,104.381,-0.70971,0.492727272727273,0.368760064412238,0.705882352941177,0.0790513833992095,0.49802371541502,0.341977309562399,0.651639344262295,0.0863636363636364,6.98477840362821,75.63,-1.62,-1.24,-1.24,-1.78,-1.38,-1.43,2.43,32.14,38.64,19.05,21.99,12.02,8.26,27.48,23.39,20.13,17.49,11.46,-0.7000000000000028
3961,2023,Old Dominion,Sun Belt Conference (SBC),64.8,103.0,103.7,18.3,18.0,0.464474456840869,0.171196667236478,0.328195829555757,20.9395302348826,19.358074222668,65.5469,64.8224,101.293,103.007,101.265,103.652,-0.644435,0.46108786610878705,0.31496062992126,0.6801948051948049,0.11470281543274201,0.48800834202294097,0.31728045325779,0.668977469670711,0.098744769874477,6.98477840362821,77.07,-1.03,0.05,0.14,0.99,-0.23,-0.49,1.7,33.46,37.65,31.75,12.88,11.72,5.96,21.63,31.17,19.02,14.86,13.31,-0.7000000000000028
3962,2006,Belmont,Missouri Valley Conference (MVC),69.1,107.1,107.8,18.3,18.0,0.564871,0.220274,0.35580199999999995,17.7671,21.3073,71.992,69.1408,110.254,107.083,103.786,107.817,-0.733396,0.564831,0.37662300000000004,0.6905129999999999,0.084291,0.48505699999999996,0.342059,0.706048,0.085258,6.98477840362821,77.07,-1.03,0.05,0.14,0.99,-0.23,-0.49,1.7,33.46,37.65,31.75,12.88,11.72,5.96,21.63,31.17,19.02,14.86,13.31,-0.7000000000000028
3963,2016,Harvard,Ivy League,65.9,100.3,101.0,18.9,17.1,0.518325,0.21548899999999999,0.2957895,15.2488,20.487,67.1407,65.9198,98.8941,100.337,100.075,101.026,-0.689332,0.481444,0.391714,0.591286,0.133523,0.464015,0.31295,0.716667,0.071214,6.98477840362821,77.91,-0.06,1.16,2.16,1.4,1.03,1.09,1.69,33.95,37.91,30.29,21.22,6.53,4.05,35.26,20.69,22.56,11.94,9.54,-0.7000000000000028
